plate,numinSet,sample,pop,individual,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,163,AO-F-1-1,1,1,182,1790,6,6,NA,NA,182,01:31:41 Thu 05-May-16,101.8,47.4953494956,123.9395996588,1726.7407955721,22.6441614542,3846.8097158452,958.1510497619,28602.1520642955,2578.2659549964,59.1333762722,28.5423024845,0.0350664401,0.245784243,4.7681544003,23.3913511124,0.0056111069,-0.0792078972,51.2552751718,13.5455752855,1.0263031329,0.0713871023
NA,175,AO-F-1-3,1,3,194,1802,6,6,NA,NA,194,02:16:44 Thu 05-May-16,184,19.8747463275,41.5337913715,1387.6211300436,23.8439687444,3387.015279095,799.6887432728,31176.8188677362,2992.6960769067,35.3982582914,15.2666850291,0.0194334014,0.3225517309,4.1280724409,24.527411799,0.0058762944,-0.0581123613,44.1700523042,14.9038542601,0.4512129718,0.0195978853
NA,169,AO-F-1-4,1,4,200,1808,6,6,NA,NA,200,02:39:13 Thu 05-May-16,110.5,23.2387338512,28.145864279,1519.1920834208,25.347548932,2784.7232236244,940.9582905121,23295.8563880187,1750.8937882381,66.3470978151,32.2214511611,0.0583525922,0.2143345738,6.077243134,25.1548268837,0.0033705166,-0.1600679332,38.9056645039,12.5178400035,0.218247397,0.0269649593
NA,188,AO-F-1-5,1,5,206,1814,6,6,NA,NA,206,03:01:46 Thu 05-May-16,102.3,36.0619211789,33.8893575394,1552.0797297172,37.6902482637,2936.2355271005,752.9444688065,30124.0921588571,2198.7604813332,82.7370049261,39.0426584244,0.041563922,0.2096000031,6.2804546647,22.382907341,0.0062452999,-0.8049791274,46.0091397838,20.0777110552,0.5761817326,0.0214798197
NA,171,AO-F-1-6,1,6,198,1806,6,6,NA,NA,198,02:31:43 Thu 05-May-16,101.1,37.1022629155,31.1708918054,2385.8756931172,25.2038282388,4196.8970403716,959.6191378374,29557.2179547511,1782.9629972052,53.6443351541,35.3948082154,0.0275802025,0.1219974008,4.3546691025,15.8393087001,0.0048578652,0.2916541148,30.5424957644,21.6034067573,0.3750858889,0.0271953799
NA,164,AO-F-1-7,1,7,183,1791,6,6,NA,NA,183,01:35:25 Thu 05-May-16,109.7,25.0456825038,11.8915237675,2137.1240532682,47.3291885331,3925.4507134644,836.4071447561,24601.8082152295,1799.4352350205,77.6862638376,38.5525044864,0.0394356913,0.2023210805,6.6285999677,17.444975866,0.0044496304,-0.15953494,24.046717046,15.7480054454,0.2511810705,0.0316349174
NA,172,AO-F-1-8,1,8,197,1805,6,6,NA,NA,197,02:27:58 Thu 05-May-16,183.7,13.6441894685,9.9100045139,1347.8564089809,16.0275027313,2403.5749285669,688.7771932335,25693.272640849,1721.2854012107,33.4339678383,27.7108803789,0.0147520645,0.1023569229,3.7117866504,14.8149829981,0.0043150661,-0.3265927233,43.2415716859,15.6965398827,0.2280898572,0.0123858498
NA,177,AO-F-1-9,1,9,192,1800,6,6,NA,NA,192,02:09:14 Thu 05-May-16,103.1,22.1503163482,56.7174049244,2240.1966820675,58.561793889,4554.4039761796,457.0341174655,41643.2992367982,2636.2388444501,86.4492052392,36.6603666879,0.0601872644,1.0865923038,8.3062481998,52.7272075719,0.007381503,0.0702133509,68.1119763858,24.6735070865,0.1189825241,0.0449155638
NA,190,AO-F-1-10,1,10,204,1812,6,6,NA,NA,204,02:54:17 Thu 05-May-16,104.9,17.9496106618,31.0854770608,2061.5117451675,23.4988845109,3125.259522653,1113.0511023009,29891.4214758195,2176.4983676242,66.2936599889,36.7045060388,0.0324033233,0.2158092669,7.1488055289,32.1955516217,0.0063267188,0.3041215421,56.4682479572,24.2237394417,0.2463168538,0.0347454591
NA,195,AO-F-1-11,1,11,217,1825,6,6,NA,NA,217,03:43:03 Thu 05-May-16,154.4,23.1348448292,32.0031693467,3820.5141657134,33.5171756349,3845.3937504125,656.9843360108,28017.7785045188,4450.9393666309,59.7205832594,17.8863627535,0.0241525775,0.1979488484,4.4724895369,14.516152253,0.0119381995,0.2121496431,29.9591317439,43.5380421009,0.456062955,0.0378861343
NA,165,AO-F-1-12,1,12,184,1792,6,6,NA,NA,184,01:39:10 Thu 05-May-16,107.1,13.0379385859,19.0633159747,2458.9556762948,30.9273370245,4668.5295095152,687.4658090944,32282.9717237906,1842.1606296597,56.5596066279,30.1490316362,0.026060559,0.2153921836,4.2587897364,21.29262425,0.0040843818,-0.0702634198,67.5320617812,20.5185000564,0.1398311037,0.0633118104
NA,154,AO-F-1-13,1,13,164,1772,6,6,NA,NA,164,00:24:08 Thu 05-May-16,125.5,8.6923782734,15.2852902626,2342.2200059436,85.4053109875,4745.4863793772,819.5544159553,41624.2861221385,1646.1439144625,106.3452315726,34.5336781129,0.0781231884,0.4122265804,7.1297785968,28.9579629931,0.0031701879,0.0995110773,76.6988167091,18.7646899369,0.1551896659,0.0608170806
NA,149,AO-F-1-14,1,14,169,1777,6,6,NA,NA,169,00:42:52 Thu 05-May-16,168,20.5614720438,13.5350457711,2098.999879483,51.194129334,3471.4250928206,1363.6964145262,35235.9397843382,2277.2678791636,67.1934119521,35.9342845528,0.0510634381,0.3455124588,8.2304816484,29.6331264119,0.0110142008,-0.0216908328,63.5890467572,23.1639028513,0.1209108622,0.0322288699
