pop,lat,lon,popname,date,who,elevation,plant,teo,otrogram,leg,nada,otro-otro,anchuraTallo,altura,note
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,1,55,10,0,25,10,9.23,69.6,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,2,55,10,0,25,10,8.2,73.5,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,3,80,0,0,10,10,9.33,66.3,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,4,80,0,0,10,10,6.28,81,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,5,90,0,0,0,10,11.96,132.1,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,6,90,0,0,0,10,6.13,104.4,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,7,90,0,5,0,20,13.48,113.4,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,8,90,0,5,0,20,6.57,87.5,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,9,85,0,0,0,15,7.17,135.8,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,10,85,0,0,0,15,8.62,155.7,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,11,80,0,0,0,20,10.5,122.3,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,12,80,0,0,0,20,12.24,188.5,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,13,85,0,0,0,15,8.71,102.7,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,14,85,0,0,0,15,13.3,153.5,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,15,90,0,2,0,8,7.09,133,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,16,90,0,2,0,8,7.1,127.3,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,17,100,0,0,0,10,7.83,170,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,18,100,0,0,0,10,12.75,208.3,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,19,70,0,0,0,30,10.84,164.8,
8,19.50457142,-98.92248052,texcoco,14-Aug-13,Ga-B-A-J,2253,20,70,0,0,0,30,12.32,215.5,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,1,15,0,0,35,40,10.41,69.7,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,2,15,0,0,35,40,5.45,47.5,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,3,15,0,0,20,70,7.45,49.2,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,4,15,0,0,20,70,6.28,60.2,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,5,10,0,0,60,30,6.31,31.5,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,6,10,0,0,60,30,5.09,18.7,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,7,25,0,0,5,70,18.14,101.8,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,8,25,0,0,5,70,12.14,64.6,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,9,25,0,0,15,60,16.09,79.2,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,10,25,0,0,15,60,13.43,53.5,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,11,40,0,0,10,50,17.3,123.5,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,12,40,0,0,10,50,12.3,77,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,13,30,0,0,20,50,8.57,48.3,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,14,30,0,0,20,50,13.54,51.4,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,15,55,0,0,0,45,14.36,93.6,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,16,55,0,0,0,45,10.44,96,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,17,10,0,0,10,80,11.6,54,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,18,10,0,0,10,80,9.67,48.2,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,19,15,0,0,20,65,9.37,53.8,
6,18.95377955,-99.50145177,malinalco,12-Aug-13,M-J-A,1881,20,15,0,0,20,65,11.24,62.7,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,1,15,53,0,10,22,18.84,45.6,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,2,35,5,0,0,60,15.28,84.7,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,3,35,5,0,0,60,10.4,58,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,4,50,40,1,0,9,11.35,67.8,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,5,50,40,1,0,9,14.01,46.1,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,6,40,40,0,15,5,16.06,62.5,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,7,40,40,0,15,5,14.85,43.9,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,8,25,40,0,35,0,11.34,20,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,9,25,40,0,35,0,7.96,29.7,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,10,35,45,0,20,0,12.84,162,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,11,35,45,0,20,0,15.68,216.5,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,12,50,30,0,15,5,18.33,128.7,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,13,50,30,0,15,5,18.74,96.6,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,14,35,50,0,5,10,11.66,52.8,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,15,35,50,0,5,10,11.42,52.2,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,16,25,75,0,0,0,13,113.4,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,17,25,75,0,0,0,14.61,81,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,18,30,60,0,0,10,18.58,130,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,19,30,60,0,0,10,17.57,105.5,
7,19.26042678,-99.72212297,tolucaC,13-Aug-13,M-J-A,2776,20,30,40,0,30,0,12.72,40.5,
4,19.14572706,-98.86284999,TenangoDelAire,10-Aug-13,B-G-J-A,2408,1,10,20,0,30,45,8.12,19,
4,19.14572706,-98.86284999,TenangoDelAire,10-Aug-13,B-G-J-A,2408,2,10,40,0,25,30,6.21,11.5,
4,19.14572706,-98.86284999,TenangoDelAire,10-Aug-13,B-G-J-A,2408,3,10,40,0,25,30,7.74,14.5,
4,19.14572706,-98.86284999,TenangoDelAire,10-Aug-13,B-G-J-A,2408,4,8,30,0,20,45,7.44,31.5,
