TAnn,TmeanWarmQ,TmeanCQ,Pann,PwetM,PDM,Pseas,PwetQ,PDQ,PWarmQ,PCQ,TDiRange,TIsother,TSD,TmaxWarmM,TminCM,TannR,TmeanWetQ,TmeanDQ,elevation,P.Bray.ppm,InorganicN.ppm,arena,arcilla,limo,PuntoDeSaturacionPercent,CapacidadDeCampoPercent,PuntoMarchPermPercent,DensidadAparente,pH.1.2agua,CarbonatosTotalesPercent,MOPercent,K.ppm,Ca.ppm,Mg.ppm,Na.ppm,Fe.ppm,Zn.ppm,Mn.ppm,Cu.ppm,CEe,RAS,pHe,PSI,Ca.ion.m.l,Mg.ion.m.l,Na.ion.m.l,K.ion.m.l,CO3.ion.m.l,HCO3.ion.m.l,Cl.ion.m.l,SO4.ion.m.l,Ca.mg.pergram,Mg.K.pergram,CaMg.K.pergram,Ca.K.pergram,Ca.m.gr,Mg.m.gr,K.m.gr,Na.m.gr,CIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,148,107,836,171,8,85,459,35,240,35,142,69,1567,227,22,205,138,107,2776,29.7,17.6,57.12,19.6,23.28,44,33,17.3,1.38,6.17,0.01,2.48,143,1181,286,34.3,176,3.25,75,1.49,0.41,1.27,7.41,1.71,1.4,1.36,1.08,0.08,0.52,1.02,1.18,1.34,2.53,6.32,22.3,16,5.91,2.34,0.37,0.15,8.77
130,148,107,836,171,8,85,459,35,240,35,142,69,1567,227,22,205,138,107,2776,29.7,17.6,57.12,19.6,23.28,44,33,17.3,1.38,6.17,0.01,2.48,143,1181,286,34.3,176,3.25,75,1.49,0.41,1.27,7.41,1.71,1.4,1.36,1.08,0.08,0.52,1.02,1.18,1.34,2.53,6.32,22.3,16,5.91,2.34,0.37,0.15,8.77
198,216,182,966,207,3,106,595,12,271,23,158,75,1301,304,95,209,203,191,1665,33.3,12,61.12,11.6,27.28,40,30,15.8,1.44,5.9,0.01,2.15,428,915,290,28.2,58.6,1.94,15.7,1,0.3,1.15,6.64,1.47,0.76,0.64,0.65,0.23,0.01,1.6,0.7,0.69,1.92,2.18,6.39,4,4.58,2.38,1.09,0.12,8.17
186,206,163,928,189,5,98,558,30,272,30,149,66,1639,296,73,223,195,163,1881,223,16.9,63.12,9.6,27.28,74,55.5,29.1,0.88,6.14,0.01,10.6,827,4076,527,31.5,81.8,48.7,20.5,0.96,0.52,0.66,7.23,0.52,2.96,1.92,0.56,0.44,0.56,3.3,1.47,0.01,4.72,2.04,11.7,10,20.4,4.32,2.12,0.14,26
198,216,182,966,207,3,106,595,12,271,23,158,75,1301,304,95,209,203,191,1665,33.3,12,61.12,11.6,27.28,40,30,15.8,1.44,5.9,0.01,2.15,428,915,290,28.2,58.6,1.94,15.7,1,0.3,1.15,6.64,1.47,0.76,0.64,0.65,0.23,0.01,1.6,0.7,0.69,1.92,2.18,6.39,4,4.58,2.38,1.09,0.12,8.17
153,175,123,585,116,5,86,325,20,185,20,181,69,2094,272,12,260,172,123,2253,175,13.4,35.12,19.6,45.28,54,40.5,21.3,1.18,7.27,1.45,2.84,1055,2710,660,419,29.6,10.5,6.28,2.12,1.11,10.2,7.87,7.74,3.16,0.56,4.78,0.44,0.8,3.2,3.05,4.08,2.51,2,7.04,5,13.6,5.41,2.7,1.82,23.5
198,216,182,966,207,3,106,595,12,271,23,158,75,1301,304,95,209,203,191,1665,33.3,12,61.12,11.6,27.28,40,30,15.8,1.44,5.9,0.01,2.15,428,915,290,28.2,58.6,1.94,15.7,1,0.3,1.15,6.64,1.47,0.76,0.64,0.65,0.23,0.01,1.6,0.7,0.69,1.92,2.18,6.39,4,4.58,2.38,1.09,0.12,8.17
198,216,182,966,207,3,106,595,12,271,23,158,75,1301,304,95,209,203,191,1665,33.3,12,61.12,11.6,27.28,40,30,15.8,1.44,5.9,0.01,2.15,428,915,290,28.2,58.6,1.94,15.7,1,0.3,1.15,6.64,1.47,0.76,0.64,0.65,0.23,0.01,1.6,0.7,0.69,1.92,2.18,6.39,4,4.58,2.38,1.09,0.12,8.17
130,148,107,836,171,8,85,459,35,240,35,142,69,1567,227,22,205,138,107,2776,29.7,17.6,57.12,19.6,23.28,44,33,17.3,1.38,6.17,0.01,2.48,143,1181,286,34.3,176,3.25,75,1.49,0.41,1.27,7.41,1.71,1.4,1.36,1.08,0.08,0.52,1.02,1.18,1.34,2.53,6.32,22.3,16,5.91,2.34,0.37,0.15,8.77
