germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
5,50,1.69,0.8988764045,0.8,0.89,13,14.2,5.89,7,6,3,3
4,50,1.37,1.0447761194,0.7,0.67,0,20.8,5.15,6,5.5,2,2
4,50,2.61,1.5096153846,1.57,1.04,0,33.7,4.66,7,5.5,3,2
3,50,3.23,1.1824324324,1.75,1.48,8,35.9,5.13,6,3,3,3
5,50,3.53,1.3223684211,2.01,1.52,0,16.6,10.48,7,5,3,1
10,51,3.8,0.8357487923,1.73,2.07,0,25.6,7.31,6,11,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,3.32,0.9644970414,1.63,1.69,3,40.3,4.9,6,3.5,3,2
3,50,3.52,1.0584795322,1.81,1.71,0,35.5,6.09,6,3.5,3,2
2,50,3.14,1.2112676056,1.72,1.42,9,41.2,4.37,6,2,3,3
3,50,3.75,1.106741573,1.97,1.78,4,37.5,4.43,7,9.6666666667,3,3
2,50,1.55,1.5409836066,0.94,0.61,0,30.5,4.35,6,3,3,3
2,50,3.54,1.1071428571,1.86,1.68,2,30.5,7.47,6,3.25,4,4
4,50,3.22,2.0666666667,2.17,1.05,11,50.4,5.74,7,4,1,1
2,50,3.79,0.9947368421,1.89,1.9,9,30.4,8.38,7,3.3333333333,3,3
7,51,4.29,1.5688622754,2.62,1.67,24,44.4,4.6,6,7,1,1
4,50,3.3,1.1568627451,1.77,1.53,0,37.5,5.36,7,6.3333333333,3,3
2,50,2.85,1.3170731707,1.62,1.23,6,36.9,5.74,7,2.3333333333,3,3
2,50,2.67,1.2627118644,1.49,1.18,11,47.5,5.57,7,6.5,3,2
2,50,4.08,1.0298507463,2.07,2.01,10,38.9,6.97,6,2,3,3
4,50,2.75,1.2,1.5,1.25,0,44.3,4.18,7,17.3333333333,3,3
2,50,3.81,1.0934065934,1.99,1.82,5,28,7.76,6,2.6666666667,3,3
2,50,3.55,1.100591716,1.86,1.69,14,44.2,4.87,7,2.5,3,2
5,50,3.89,0.9948717949,1.94,1.95,0,30.7,6.58,7,5.5,3,2
3,50,4.88,1.0165289256,2.46,2.42,0,27.3,10.8,6,3.5,3,2
2,50,5.54,1.0145454545,2.79,2.75,0,32.9,9.2,7,2,3,3
3,50,4.77,1.2606635071,2.66,2.11,9,47.3,5.89,7,9,4,4
5,50,3.77,1.6180555556,2.33,1.44,0,47.5,4.98,6,6.5,3,2
3,50,1.78,0.8736842105,0.83,0.95,0,22.7,6.7,7,4.6666666667,3,3
2,50,4.26,1.4912280702,2.55,1.71,4,41.7,5.72,6,2,3,1
2,50,NA,NA,NA,NA,NA,NA,NA,NA,2.3333333333,3,3
2,50,1.82,1.4594594595,1.08,0.74,10,45.1,3.22,6,3.6666666667,3,3
3,50,3.46,1.1898734177,1.88,1.58,0,56.5,4.92,6,4.3333333333,3,3
2,50,3.45,1.3793103448,2,1.45,0,48.6,4.64,7,2.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,2.48,1.0840336134,1.29,1.19,9,30.5,5.8,6,2.6666666667,3,3
10,51,3.69,1.8828125,2.41,1.28,16,30.9,8.35,7,17.5,3,2
2,50,4.17,1.2786885246,2.34,1.83,0,40.8,7.08,6,2,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,4.59,1.5642458101,2.8,1.79,4,NA,6.76,6,2.3333333333,3,3
2,50,4.37,1.2182741117,2.4,1.97,18,54.1,4.85,6,10.6666666667,3,3
2,50,4.73,1.0127659574,2.38,2.35,10,36.8,7.36,6,2,3,3
12,49,1.35,1.1774193548,0.73,0.62,0,18.1,5.43,7,19,3,2
19,49,3.59,1.6992481203,2.26,1.33,0,25.9,8.4,6,19,3,1
2,50,2.8,1.9787234043,1.86,0.94,13,56.6,4.46,6,3,3,2
2,50,3.1,1.3308270677,1.77,1.33,0,48.8,4.23,7,2,3,2
2,50,2.62,1.4259259259,1.54,1.08,6,35,6.34,6,4,3,3
4,50,3.44,0.9217877095,1.65,1.79,1,17.6,10.34,7,6.6666666667,3,3
5,50,4.4,1.4858757062,2.63,1.77,7,44.9,5.36,6,8.5,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
5,50,3.66,1.1279069767,1.94,1.72,0,24.3,8.06,7,16,3,2
6,50,2.83,1.2822580645,1.59,1.24,8,NA,5.82,7,9,3,2
8,50,4.55,1.5418994413,2.76,1.79,0,35.4,6.47,6,11.5,3,2
6,50,3.55,1.3051948052,2.01,1.54,7,46,4.27,6,6,3,1
2,50,4.53,1.1469194313,2.42,2.11,9,51.4,5.27,6,2,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
