plate,numinSet,sample,sampleid,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,56,AO-1-1,1,59,380,2,2,NA,NA,59,16:08:06 Tue 26-Apr-16,129.1,13.4519846295,79.7656411091,1319.4796682384,40.3555352638,561.9798156406,1013.2645603709,31136.8261525935,4127.9320968891,89.5056416651,45.7119446824,0.0681106094,0.4843509877,7.7378113767,12.0117583409,-0.0955572156,1.1457130829,16.0503469568,17.4719762729,10.1788799824,0.028151479
NA,66,AO-1-2,2,74,395,2,2,NA,NA,74,17:04:25 Tue 26-Apr-16,99.7,6.6659105883,118.199304521,2853.4678696079,26.3863216151,739.6168136557,1156.9054040638,30147.3054056145,7818.5022855675,87.3737382087,161.4405121456,0.0408296464,0.1850711048,10.5371150421,12.451828882,-0.1502216342,0.9087262242,11.5298889802,38.1647742777,10.880492597,0.4173279215
NA,62,AO-1-3,3,69,390,2,2,NA,NA,69,16:45:38 Tue 26-Apr-16,110.1,10.4636240483,58.7697843594,1620.0337615402,30.4982173411,950.6645686862,929.5009951843,32443.850905594,4212.5661232093,80.5261718013,76.6047842873,0.038675255,0.1503667948,6.2189797676,11.5101941839,-0.1117143071,0.5453061036,25.1057784957,21.2153133268,6.8997980388,0.148008578
NA,59,AO-1-4,4,56,377,2,2,NA,NA,56,15:56:51 Tue 26-Apr-16,112.2,9.5574639412,126.2817481094,1517.1444520405,43.9809363468,796.7308786825,922.5256011158,31806.7155812403,4822.3515970408,91.5005252604,86.6436486203,0.0537622346,0.1585006626,6.6291205742,10.490377922,-0.1699539316,0.5810340609,23.3650244289,23.7489676441,3.1646532171,0.0483209623
NA,73,AO-1-5,5,94,415,2,2,NA,NA,94,18:19:31 Tue 26-Apr-16,105.5,8.3836736086,62.0252007648,1789.0678266192,36.3362369727,740.9166618384,978.9105267632,28750.066066693,5130.1022459001,70.6875950167,74.7552156747,0.0394425447,0.0840420969,3.8309249725,8.8732656359,-0.0857659838,0.592318785,20.9778934693,27.663688475,4.7509376651,0.0521953149
NA,63,AO-1-6,6,70,391,2,2,NA,NA,70,16:49:23 Tue 26-Apr-16,97.8,19.1464206752,354.475158949,2141.4808199284,37.4640435647,645.17913644,789.5630798652,36637.1533314226,8045.6226773072,78.1883354064,109.5162933142,0.0702383751,0.1824991869,8.6786996102,10.4089139365,-0.1802348836,0.3165242095,22.8429358057,42.1669603987,3.5804180644,0.0647405834
NA,103,AO-1-8,8,114,435,2,2,NA,NA,114,19:34:38 Tue 26-Apr-16,105.8,7.1292058953,104.7198246371,2382.0208304545,40.1752892606,1171.7441221675,629.4671898312,31538.082223648,5438.9383749506,77.2410772834,72.1332310447,0.0490884953,0.1627513124,6.8417779145,13.6752615703,-0.1112718585,0.5398352994,26.9193617083,27.8219291469,3.1498954717,0.0665499015
NA,55,AO-1-9,9,60,381,2,2,NA,NA,60,16:11:51 Tue 26-Apr-16,109.2,5.4117189204,72.6543525088,1052.998530512,43.0350548582,897.6524402074,622.3110947977,28627.3287754798,2108.7052143399,85.7404326318,55.4956198491,0.0587548042,0.1586214995,5.9168514634,14.693361723,-0.0767896709,0.3441841935,21.8597185112,10.3831898946,1.8809388615,0.046783276
NA,79,AO-1-10,10,87,408,2,2,NA,NA,87,17:53:13 Tue 26-Apr-16,101.4,6.5519613412,97.3570217865,1400.858372154,56.4748439621,893.3915824874,825.6294519576,24671.6730746415,2793.856601003,98.6118953106,29.5945823866,0.0429957285,0.2214189889,4.9674004834,30.2056431217,-0.0956371447,0.3015610844,18.0404235197,13.4311087949,5.2376829365,0.072651661
NA,77,AO-1-11,11,89,410,2,2,NA,NA,89,18:00:43 Tue 26-Apr-16,97,12.6680427434,111.8299308382,2036.9920925406,30.3465446447,1067.2116289183,764.4097433818,26005.7793531057,3577.6352694475,65.5929232937,59.3613825392,0.0360407733,0.1189187359,5.1010663658,11.05054849,-0.1152734704,0.3824072795,25.9020524035,16.1471435634,3.566727916,0.0602107467
NA,69,AO-1-12,12,77,398,2,2,NA,NA,77,17:15:40 Tue 26-Apr-16,100.6,14.4167728891,147.2995775483,2450.2761796977,50.9307387852,2752.0082506575,2018.2966620596,36800.3778870382,3864.0961256208,138.3644514859,84.9810176383,0.0527866207,0.2301422878,10.2100368242,74.8928422925,-0.113566293,0.7006782355,23.6595861424,18.2711070336,2.6062018985,0.1363651282
NA,68,AO-1-13,13,76,397,2,2,NA,NA,76,17:11:55 Tue 26-Apr-16,105.5,8.6856170786,151.4771114948,2265.3192198045,44.7271804211,914.6831068715,962.7001904413,30961.7633832679,3571.8374118615,97.8185332122,106.0632382507,0.0454342329,0.4019826055,7.1042916912,29.7676206416,-0.1152133108,0.4996709843,31.4130571747,17.5797162898,5.7439867941,0.121697707
NA,107,AO-1-14,14,109,430,2,2,NA,NA,109,19:15:49 Tue 26-Apr-16,106.4,6.9473801429,123.3865582639,2352.9145773482,37.3921648996,887.2571402942,849.4928166861,22205.0452550762,5562.9970938399,87.3660535648,73.6391527402,0.0422515516,0.1841559345,6.6403762154,12.5007068327,-0.0766599157,0.6818072121,14.3891195395,27.3061885282,6.1529886995,0.0678260231
NA,102,AO-1-15,15,115,436,2,2,NA,NA,115,19:38:23 Tue 26-Apr-16,100.4,11.9055716843,192.5660214031,913.7333572544,34.8931223971,389.3800486236,676.6000716373,28535.7962877481,5266.3015566206,81.3583544757,112.8028297148,0.0476822382,0.1225293993,4.6667046306,17.7285331659,-0.1595003481,0.9140659472,21.1709264044,25.0638794373,4.3824938141,0.6648489379
