X2ndLL.6.6.9,LfL.6.18.4th
9.6,28.6
9.4,28
10.6,37.6
13.2,40.9
10.2,31.3
16.5,34.1
NA,NA
15.1,34.2
18,42.1
15.4,40.6
13.4,38.3
11.7,35.1
11.5,50.6
9.3,34.9
12,39.2
13.2,42.1
12.2,34.5
13.4,35.8
14.9,39.5
14.9,43.9
15.1,48.3
13.5,50.8
16.1,43.3
16.5,44.6
12.7,45.9
11.8,32.3
13.5,35.6
12.1,41
6.7,16.1
15.8,43.7
NA,NA
15.1,38.5
14.6,39.1
12.4,34.5
NA,NA
14.7,34.2
16.6,37.3
14.3,33.3
NA,NA
16.6,38.2
10.1,53.1
13,41.4
9.6,26.9
7.7,45.7
16.7,41.8
18.5,38.7
10.7,28.6
12.7,32.2
11.8,31.3
NA,NA
10.9,28.4
11.5,31.8
15.9,40.8
14.3,43.5
17.4,42.1
NA,NA
10.5,21.5
15.2,36.1
7.3,19.3
16.6,34.5
19,45.4
NA,NA
15,40.1
NA,NA
11.3,45.5
16.8,38.9
11.1,28.3
15.4,41.3
18.4,43.2
13.1,42.5
19.7,43.1
13.7,37.3
13,42.3
12.6,42.9
10.9,33.1
NA,NA
14,42.6
6.7,49.7
17.1,48.4
20.5,19.6
10.4,36
15.9,46.7
12.4,34.2
26.7,31.1
13.2,31.9
20.2,41.9
14.2,35
17.6,47.6
18.9,45.5
12.8,33.3
NA,NA
NA,NA
15.1,41.5
10.7,38.2
NA,NA
9.5,25.1
8,29.9
19.2,45.9
15.8,41.2
15.8,31.4
15.2,47.1
12.6,33.4
12.9,36.2
15.7,42.4
17.6,17.7
14.9,43.9
27.2,44.1
6.8,34.5
15.1,34.1
15.3,50.3
11.1,29.9
12.1,38.4
14.7,48
13.9,40.6
17.4,40.6
22.5,47.5
7,27.6
8.4,31.1
11.6,34.1
6.4,17.9
13.5,35
8,18.8
16.4,44.8
13.2,35.6
8.8,26.2
13.4,26.7
13.2,39.5
5.6,32.9
9.1,27.5
11.1,34.4
12.9,38.6
14.4,41.5
13.6,38.1
15.3,43.1
17.2,32.7
15.5,24.5
9.6,36.9
19.2,43.9
10.4,29.5
11.2,37.3
11.1,32
NA,NA
14.8,44.9
16.4,39.1
15.4,35.2
15.7,43.1
NA,NA
NA,NA
14.4,39.4
15.3,56.9
12.9,35.5
3.3,34.9
9.9,NA
14,26.7
NA,NA
