"lon","lat","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
-99.61624973,19.15135701,19,7,14,32,70,139,172,158,138,53,17,9
-99.632908,19.160612,19,8,14,34,73,143,175,162,144,58,18,9
-98.86284999,19.14572706,9,7,14,31,67,155,169,158,135,53,12,7
-99.12695671,19.21173915,13,7,13,29,74,171,190,195,157,65,13,8
-99.50145177,18.95377955,17,8,8,25,67,180,189,189,168,59,13,5
-98.8427936,19.07692647,12,8,14,31,79,175,178,173,170,63,15,8
-98.80872544,19.21163891,7,7,14,32,61,139,153,139,114,47,11,6
-99.72212297,19.26042678,16,8,15,34,75,131,171,155,133,68,19,11
-98.92248052,19.50457142,10,5,11,26,57,102,116,107,91,43,12,5
-99.06971343,18.97574499,5,4,3,14,59,198,207,190,195,73,13,5
