Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-1,TX,32,N,N,N,A,NA
AMO-1-2,FP,78,TC,TC,TC,A,A
AMO-1-3,TX,27,TC,TC,TC,A,A
AMO-1-4,MC,64,TP,TP,TP,A,A
AMO-1-5,TP,5,M,M,M,A,A
AMO-1-6,M,21,TP,TP,TP,A,A
AMO-1-7,M,18,TX,TX,TX,A,A
AMO-1-8,TC,99,TP,TP,TP,A,A
AMO-1-9,DA,57,TP,TP,TP,A,A
AMO-1-10,MC,62,TC,TC,TC,A,A
AMO-1-11,CU,115,M,M,M,A,A
AMO-1-12,MC,62,H,MC,H,S,S
AMO-1-13,CU,118,TP,TP,TP,A,A
AMO-1-14,TC,106,H,TC,H,S,S
AMO-1-15,FP,84,N,N,N,A,NA
AMO-1-16,TC,106,TP,TP,TP,A,A
AMO-1-17,CL,93,H,CL,H,S,S
AMO-1-18,CU,118,M,M,M,A,A
AMO-1-19,MT,40,N,N,N,A,NA
AMO-1-20,MC,63,H,MC,H,S,S
AMO-1-21,DA,58,N,N,N,A,NA
AMO-1-22,MC,65,TP,TP,TP,A,A
AMO-1-23,MT,44,N,N,N,A,NA
AMO-1-24,DA,50,M,M,M,A,A
AMO-1-25,CU,109,TP,TP,TP,A,A
AMO-1-26,FP,79,M,M,M,A,A
AMO-1-27,MC,71,TX,TX,TX,A,A
AMO-1-28,TX,28,TX,TX,H,S,S
AMO-1-29,TP,1,TC,TC,TC,A,A
AMO-1-30,TC,99,H,TC,H,S,S
AMO-1-31,CU,116,N,N,N,A,NA
AMO-1-32,CL,85,TC,TC,TC,A,A
AMO-1-33,CU,115,H,CU,H,S,S
AMO-1-34,TX,36,TC,TC,TC,A,A
AMO-1-35,M,18,N,N,N,A,NA
AMO-1-36,CL,86,TC,TC,TC,A,A
AMO-1-37,MT,43,N,N,N,A,NA
AMO-1-38,FP,73,N,N,N,A,NA
AMO-1-39,TP,5,TX,TX,TX,A,A
AMO-1-40,FP,74,TX,TX,TX,A,A
AMO-1-41,TC,101,M,M,M,A,A
AMO-1-42,MC,62,M,M,M,A,A
AMO-1-43,TP,3,TC,TC,TC,A,A
AMO-1-44,TP,10,M,M,M,A,A
AMO-1-45,CL,85,M,M,M,A,A
AMO-1-46,FP,83,TX,TX,TX,A,A
AMO-1-47,DA,49,TP,TP,TP,A,A
AMO-1-48,TP,4,TP,TP,H,S,S
AMO-1-49,DA,59,H,DA,H,S,S
AMO-1-50,M,17,TX,TX,TX,A,A
AMO-1-51,TP,12,TP,TP,H,S,S
AMO-1-52,TP,11,N,N,N,A,NA
AMO-1-53,M,21,M,M,H,S,S
AMO-1-54,M,14,TX,TX,TX,A,A
AMO-1-55,MC,71,TP,TP,TP,A,A
AMO-1-56,DA,51,H,DA,H,S,S
AMO-1-57,TP,5,H,TP,H,S,S
AMO-1-58,MT,48,TP,TP,TP,A,A
AMO-1-59,TP,12,TX,TX,TX,A,A
AMO-1-60,CL,92,TC,TC,TC,A,A
AMO-1-61,CU,112,H,CU,H,S,S
AMO-1-62,FP,74,H,FP,H,S,S
AMO-1-63,CL,96,M,M,M,A,A
AMO-1-64,M,16,TX,TX,TX,A,A
AMO-1-65,TC,99,N,N,N,A,NA
AMO-1-66,CU,116,TC,TC,TC,A,A
AMO-1-67,CU,109,TC,TC,TC,A,A
AMO-1-68,CU,110,M,M,M,A,A
AMO-1-69,FP,83,H,FP,H,S,S
AMO-1-70,CU,112,M,M,M,A,A
AMO-1-71,CL,86,TP,TP,TP,A,A
AMO-1-72,MC,66,N,N,N,A,NA
AMO-1-73,MT,39,N,N,N,A,NA
AMO-1-74,MC,65,H,MC,H,S,S
AMO-1-75,TP,2,TP,TP,H,S,S
AMO-1-76,M,18,M,M,H,S,S
AMO-1-77,CL,94,TX,TX,TX,A,A
AMO-1-78,CL,93,TC,TC,TC,A,A
AMO-1-79,DA,51,N,N,N,A,NA
AMO-1-80,TC,103,TP,TP,TP,A,A
AMO-1-81,CL,91,H,CL,H,S,S
AMO-1-82,CL,96,TP,TP,TP,A,A
AMO-1-83,TX,29,N,N,N,A,NA
AMO-1-84,CU,110,TX,TX,TX,A,A
AMO-1-85,TC,104,TC,TC,H,S,S
AMO-1-86,DA,51,TX,TX,TX,A,A
AMO-1-87,CU,113,TC,TC,TC,A,A
AMO-1-88,TX,36,TX,TX,H,S,S
AMO-1-89,TX,31,TX,TX,H,S,S
AMO-1-90,M,21,N,N,N,A,NA
AMO-1-91,MC,72,H,MC,H,S,S
AMO-1-92,M,17,N,N,N,A,NA
AMO-1-93,MC,70,TP,TP,TP,A,A
AMO-1-94,MT,45,TC,TC,TC,A,A
AMO-1-95,M,20,TP,TP,TP,A,A
AMO-1-96,DA,52,M,M,M,A,A
